EventTypeName,Cluster no,Message,Timestamp,Status
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DialingPlanAppPool)"" for application ""Microsoft IIS"" on node ""ITHDV7WEB01"" is in a not running state",2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 172.25.30.253. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""WMI Remote Ping"" for application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas is in a Warning state due to member status. Himalayas Servers is in a Warning state.,2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 10.10.200.201. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Lazy Writes/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
Group Warning,2,"Group Himalayas Servers is in a Warning state due to member status. 2 members are in a Warning state, 2 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 172.16.2.200. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""WMI Remote Ping"" for application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas is in a Warning state due to member status. Himalayas Servers is in a Warning state.,2025-02-18 00:15:31,warning
Group Warning,2,"Group Himalayas Servers is in a Warning state due to member status. 3 members are in a Warning state, 2 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Page Writes/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical Memory Utilization : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} -sort=PhysicalMemory was not approved by administrator,2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas is in a Warning state due to member status. Himalayas Servers is in a Warning state.,2025-02-18 00:15:31,warning
Group Warning,2,"Group Himalayas Servers is in a Warning state due to member status. 2 members are in a Warning state, 2 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""WMI Remote Ping"" for application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 2 members are in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas is in a Warning state due to member status. Himalayas Servers is in a Warning state.,2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 192.168.90.1. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas Servers is in a Warning state due to member status. CML_8000 is in a Warning state. HGHDEVPO and HGHECCTDEV are in a Unmanaged state.,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Lock Wait Time"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 2 members are in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas is in a Warning state due to member status. Himalayas Servers is in a Warning state.,2025-02-18 00:15:31,warning
Group Warning,2,"Group Himalayas Servers is in a Warning state due to member status. 3 members are in a Warning state, 2 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 1 member is in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,"Group DEEM AIX Server is in a Warning state due to member status. 2 members are in a Warning state, 16 members are in a Unmanaged state.",2025-02-18 00:15:31,warning
Group Warning,2,Group Himalayas Servers is in a Warning state due to member status. HGHPRDEVTRD is in a Warning state. HGHDEVPO and HGHECCTDEV are in a Unmanaged state.,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""WMI Remote Ping"" for application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Remote Ping to 100.92.20.15 (TATA)"" on node ""ISNOCPRIVAPP01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Page Reads/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Active Directory Domain Services"" for application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical Memory Utilization : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} -sort=PhysicalMemory was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 10.10.200.200. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (ISMSOARAPIAppPool)"" for application ""Microsoft IIS"" on node ""ISNOCPRIVAPP01"" is in a not running state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Page Writes/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DHASurvey)"" for application ""Microsoft IIS"" on node ""ISNOCDHAIVWEB01"" is in a not running state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DialingPlanAppPool)"" for application ""Microsoft IIS"" on node ""ITHDV7WEB01"" is in a not running state",2025-02-18 00:15:31,warning
Warning,2,Action Intertec-Critical Memory Utilization : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} -sort=PhysicalMemory was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DefaultAppPool)"" for application ""Microsoft IIS"" on node ""ISNOCPRIVAPP01"" is in a not running state",2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 172.16.50.201. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Active Directory Domain Services"" for application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Active Directory Domain Services"" for application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Lock Waits/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Page Writes/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Active Directory Domain Services"" for application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC01"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DashboardAppPool)"" for application ""Microsoft IIS"" on node ""ITHDV7WEB01"" is in a not running state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 10.10.200.201. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Active Directory Domain Services"" for application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Application ""NOC Infra - Active Directory Domain Services Monitoring"" on node ""ISNOCPRDC04"" is in a warning state",2025-02-18 00:15:31,warning
Warning,2,Bad trap packet received from Node with IP 172.16.2.200. Error description : Unknown user and engine. Packet discarded,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
Warning,2,Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} -alertId=${N=Alerting;M=AlertID} was not approved by administrator,2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Page Reads/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Worker Process Statistic Monitor (DialingPlanAppPool)"" for application ""Microsoft IIS"" on node ""ITHDV7WEB01"" is in a not running state",2025-02-18 00:15:31,warning
SAM Warning,2,"Component ""Lock Waits/sec"" for application ""PRODSWSQL"" on node ""ISNOCPRODSWSQL"" is in a warning state",2025-02-18 00:15:31,warning
